,en,bo,en_source,bo_source,index
1483,Jesus placed his hands on a few sick people and healed them. But he could not do any other miracles there.,ཁོང་གིས་ས་ཆ་དེར་ནད་པ་ཁ་ཤས་ལ་ཕྱག་བཞག་ནས་ནད་སེལ་བར་མཛད་པ་མ་གཏོགས། ངོ་མཚར་གྱི་མཛད་པ་གཞན་མཛད་མ་ཐུབ།,https://www.bible.com/bible/110/MRK.6.NIRV,https://www.bible.com/bible/2378/MRK.6.CTB,MRK 6:5
5053,"Did he become right with God because of something he did? If so, he could brag about it. But he couldn’t brag to God.",གལ་སྲིད་ཨབ་ར་ཧམ་དགེ་བའི་ལས་ལ་བརྟེན་ནས་དཀོན་མཆོག་གི་སྤྱན་སྔར་རྣམ་པར་དག་པར་གྱུར་ན། ཁོང་ལ་རང་བསྟོད་བྱེད་རྒྱུ་ཡོད་ཀྱང༌། དེ་དཀོན་མཆོག་གི་དྲུང་དུ་མེད།,https://www.bible.com/bible/110/ROM.4.NIRV,https://www.bible.com/bible/2378/ROM.4.CTB,ROM 4:2
3960,"Jesus said this to point out how Peter would die. His death would bring glory to God. Then Jesus said to him, “Follow me!”",ཡེ་ཤུས་པེ་ཏྲོ་ཤི་ལུགས་ནི་གང་གིས་དཀོན་མཆོག་གི་གཟི་བརྗིད་སྟོན་པའི་ཕྱིར་དེ་ལྟར་གསུངས་པའི་རྗེས་སུ་ཁོང་གིས་པེ་ཏྲོ་ལ་“ངའི་རྗེས་སུ་འབྲོངས་ཤིག་”ཅེས་གསུངས་སོ། །,https://www.bible.com/bible/110/JHN.21.NIRV,https://www.bible.com/bible/2378/JHN.21.CTB,JHN 21:19
2705,"“Abraham said to him, ‘They do not listen to Moses and the Prophets. So they will not be convinced even if someone rises from the dead.’ ”",ཨབ་ར་ཧམ་གྱིས་ཁོ་ལ་མོ་ཤེ་དང་ལུང་སྟོན་པའི་བཀའ་ལ་མ་ཉན་ན་གཤིན་པོ་རྣམས་ལས་སུ་ཞིག་ལངས་ན་ཡང་ཡིད་མི་ཆེས་”ཞེས་གསུངས་སོ། །,https://www.bible.com/bible/110/LUK.16.NIRV,https://www.bible.com/bible/2378/LUK.16.CTB,LUK 16:31
5183,"Not even the highest places or the lowest, or anything else in all creation can separate us. Nothing at all can ever separate us from God’s love. That’s because of what Christ Jesus our Lord has done.",མཐོ་གཏིང་ངམ། དཀོན་མཆོག་གིས་གང་བཀོད་པ་ཐམས་ཅད་ལས་གང་ཞིག་གིས་ཀྱང་མཱ་ཤི་ཀ་ཡེ་ཤུ་ངེད་རྣམས་ཀྱི་གཙོ་བོ་བརྒྱུད་ནས་མངོན་པའི་དཀོན་མཆོག་གི་བྱམས་པ་ལས་ང་ཚོ་ཕྲལ་མི་ཐུབ་པར་ངས་ཡིད་ཆེས་ངེས་པ་རྙེད་དོ། །,https://www.bible.com/bible/110/ROM.8.NIRV,https://www.bible.com/bible/2378/ROM.8.CTB,ROM 8:39
5788,Those who belong to the earth are like the one who came from the earth. And those who are spiritual are like the heavenly man.,ས་ནས་ཡིན་པ་རྣམས་ས་ནས་ཡིན་པའི་མི་དེ་དང་འདྲ་བ་ཡིན་ཞིང༌། དཀོན་མཆོག་གི་ཞིང་ཁམས་ནས་ཡིན་པ་རྣམས་དཀོན་མཆོག་གི་ཞིང་ཁམས་ནས་ཡིན་པའི་མི་དེ་དང་འདྲ་བ་ཡིན།,https://www.bible.com/bible/110/1CO.15.NIRV,https://www.bible.com/bible/2378/1CO.15.CTB,1CO 15:48
1525,"He saw the disciples pulling hard on the oars. The wind was blowing against them. Shortly before dawn, he went out to them. He walked on the lake. When he was about to pass by them,",གྲུའི་མདུན་ཕྱོགས་ནས་ལྷགས་པ་བརྒྱབ་པས་ཉེ་གནས་ཚོས་གྲུའི་སྐྱ་བ་རྒྱག་པ་ལ་དཀའ་ལས་བྱུང་བ་ཁོང་གིས་གཟིགས་ནས། མཚན་མོ་ཐུན་བཞི་པ་ཙམ་ལ་མཚོའི་སྟེང་ལ་ཁོ་ཚོའི་རྩར་ཞབས་འཆག་ཅིང་ཁོ་ཚོའི་འཁྲིས་ནས་འགྲོ་བར་དགོངས་བཞིན་པའི་སྐབས་སུ།,https://www.bible.com/bible/110/MRK.6.NIRV,https://www.bible.com/bible/2378/MRK.6.CTB,MRK 6:48
5307,"Let us act as we should, like people living in the daytime. Have nothing to do with wild parties, and don’t get drunk. Don’t take part in sexual sins or evil conduct. Don’t fight with each other or be jealous of anyone.",བག་མེད་ལོངས་སྤྱོད་དང༌། ར་བཟི། ལོག་གཡེམ། འདོད་ཆགས། ཁ་རྩོད། ཕྲག་དོག་བཅས་མེད་པར་ཉིན་མོ་དང་བསྟུན་པའི་སྤྱོད་ལམ་བཟང་པོ་བྱེད་དགོས།,https://www.bible.com/bible/110/ROM.13.NIRV,https://www.bible.com/bible/2378/ROM.13.CTB,ROM 13:13
4923,There were 276 of us on board.,(གྲུ་གཟིངས་ནང་ལ་ང་ཚོ་ཁྱོན་བསྡོམས་མི་གྲངས་ཉིས་བརྒྱ་བདུན་ཅུ་དོན་དྲུག་ཡོད་),https://www.bible.com/bible/110/ACT.27.NIRV,https://www.bible.com/bible/2378/ACT.27.CTB,ACT 27:37
7998,"But she will be plagued by death, sadness and hunger. In a single day she will suffer all these plagues. She will be burned up by fire. That’s because the Lord God who judges her is mighty.",དེའི་ཕྱིར་ཁོ་མོར་ཉིན་གཅིག་ནང༌། ། རིམས་ནད་དང་ནི་མྱ་ངན་དང༌། ། མུ་གེ་ཕོག་ཡོང་ཁོ་མོ་ལ། ། ཁྲིམས་གཅོད་མཛད་མཁན་སྟོབས་ཅན་གྱི། ། གཙོ་བོ་དཀོན་མཆོག་ཡིན་པས་ན། ། ཁོ་མོ་མེ་ཡིས་སྲེག་པར་འགྱུར། ། ཞེས་གསུངས།,https://www.bible.com/bible/110/REV.18.NIRV,https://www.bible.com/bible/2378/REV.18.CTB,REV 18:8
