,en,bo,en_source,bo_source,index
2574,Jesus finished speaking. Then a Pharisee invited him to eat with him. So Jesus went in and took his place at the table.,སྐྱབས་མགོན་ཡེ་ཤུས་དེ་ལྟར་གསུངས་པའི་རྗེས༌སུ། ཕ་རུ་ཤི་པ་ཞིག་གིས་ཁོང་ཉིད་ཞལ་ཟས་བཞེས་པར་གདན་དྲངས་པ་དང་ཁོང་ཡང་ཕེབས་ཏེ་གྲལ་ལ་བཞུགས་སོ།།,https://www.bible.com/bible/110/LUK.11.NIRV,https://www.bible.com/bible/1933/LUK.11.NTB,LUK 11:37
6894,Suppose a woman is a believer and takes care of widows. She should continue to help them. She shouldn’t let the church pay the expenses. Then the church can help the widows who really need it.,ཆོས་ཚོགས་ཀྱིས་རྟེན་ས་མེད་པའི་ཡུགས་མོ་དངོས་མ་རྣམས་ལ་རོགས་རམ་བྱེད་པའི༌ཕྱིར། བུད་མེད་དད་ལྡན་གང་གི་ཁྱིམ་དུ་ཡུགས་མོ་ཡོད༌ན། ཁོ་མོར་རོགས་རམ་བྱེད་འོས་པ་ལས་ཆོས་ཚོགས་ལ་ཁག་འགེལ་མི་རུང༌ངོ་།།,https://www.bible.com/bible/110/1TI.5.NIRV,https://www.bible.com/bible/1933/1TI.5.NTB,1TI 5:16
4172,"Long ago you spoke by the Holy Spirit. You spoke through the mouth of our father David, who served you. You said, “ ‘Why are the nations angry? Why do the people make useless plans?",ཁྱེད་ཀྱིས་དམ་པའི་ཐུགས་ཉིད་ཀྱི་སྒོ་ནས་ཉིད་ཀྱི་ཞབས་ཕྱི་པ༌སྟེ། ངེད་ཅག་གི་མེས་པོ་དཱ་བིད་ཀྱི་ངག་བརྒྱུད་ནས་ཇི་སྐད༌དུ། ཅིའི་ཕྱིར་ཕྱི་ཕྱོགས་པ་རྣམས་འཁོན་ཅིང༌འཛིང༌།། ཅིའི་ཕྱིར་མི་རྣམས་དོན་མེད་ཐབས་ལ༌འཇུག །,https://www.bible.com/bible/110/ACT.4.NIRV,https://www.bible.com/bible/1933/ACT.4.NTB,ACT 4:25
5313,"Moses writes about how the law could help a person do what God requires. He writes, “The person who does these things will live by them.”",དེ་ལ་མོ་ཤེ་ཡིས་འདི་ལྟར་བྲིས་ཡོད་དེ། སུ་ཞིག་གིས་བཀའ་ཁྲིམས་ལས་བྱུང་བའི་རྣམ་དག་བཞིན་དུ་བྱེད༌ན། མི་དེའང་དེ་ལ་བརྟེན་ནས་སྲོག་འཚོ་བར་ངེས་ཞེས་པའོ།།,https://www.bible.com/bible/110/ROM.10.NIRV,https://www.bible.com/bible/1933/ROM.10.NTB,ROM 10:5
4129,He jumped to his feet and began to walk. He went with Peter and John into the temple courtyards. He walked and jumped and praised God.,ཁོ་རང་ཡར་ལྡིང་སྟེ་ལངས་ནས་འགྲོ་ཐུབ་པར་གྱུར་པ༌དང༌། ཡང་པེ་ཏྲོ་དང་ཡོ་ཧ་ནན་གཉིས་དང་འགྲོགས་ནས་མཆོངས་ལྡིང་བྱེད་བཞིན་འགྲོ་བ་དང་དཀོན་མཆོག་ལ་བསྟོད་བསྔགས་བརྗོད་བཞིན་མཆོད་ཁང་དུ་སོང༌ངོ་།།,https://www.bible.com/bible/110/ACT.3.NIRV,https://www.bible.com/bible/1933/ACT.3.NTB,ACT 3:8
1996,"At noon, darkness covered the whole land. It lasted three hours.",དེར་ཉིན་གུང་ ནས་ཕྱི་དྲོའི་ཆུ་ཚོད་གསུམ་པའི་བར་དུ་ཡུལ་དེ་ཡོངས་སུ་མུན་ནག་འཐིབས༌ཤིང༌།,https://www.bible.com/bible/110/MRK.15.NIRV,https://www.bible.com/bible/1933/MRK.15.NTB,MRK 15:33
7529,Show proper respect to everyone. Love the family of believers. Have respect for God. Honor the emperor.,ཁྱོད་ཅག་གིས་མི་ཐམས་ཅད་ལ་བརྩི་བཀུར་དང་། དད་ལྡན་སྤུན་ཟླ་ལ་གཅེས་པ། དཀོན་མཆོག་ལ་གུས༌ཤིང་འཇིགས་པ། རྒྱལ་པོ་ལ་བརྩི་བཀུར་བཅས་བྱེད་པར༌གྱིས།,https://www.bible.com/bible/110/1PE.2.NIRV,https://www.bible.com/bible/1933/1PE.2.NTB,1PE 2:17
5037,"Three days later Paul called a meeting of the local Jewish leaders. When they came, Paul spoke to them. He said, “My brothers, I have done nothing against our people. I have also done nothing against what our people of long ago practiced. But I was arrested in Jerusalem. I was handed over to the Romans.",དེ་ནས་ཉིན་གསུམ་འགོར༌རྗེས། ཕོལ་ལོལ་གྱིས་ཡ་ཧུ་དཱ་པའི་དཔོན་རིགས་རྣམས་བོས་ཤིང་དེ་རྣམས་ལྷན་དུ་འདུས་ཚེ་འདི་སྐད༌དུ། སྤུན་ཟླ༌རྣམ་པ། ངས་རང་རེའི་ཡུལ་གྱི་མི་རྒྱུད་དང་བདག་ཅག་གི་ཕ་མེས་ཀྱི་ལུགས་སྲོལ་དང་འགལ་བའི་ལས་ཅི་ཡང་མ་བྱས༌ཀྱང༌། ང་རང་ཡེ་རུ་སཱ་ལེམ་ནས་བཙོན་དུ་བཅུག་ཅིང་རོ་མཱ་པའི་ལག་ཏུ་སྤྲད་པ༌དང༌།,https://www.bible.com/bible/110/ACT.28.NIRV,https://www.bible.com/bible/1933/ACT.28.NTB,ACT 28:17
1578,The king was very upset. But he thought about his promise and his dinner guests. So he did not want to say no to the girl.,དེའི་ཚེ་རྒྱལ་པོ་ཧེ་རོ་དཱའི་སེམས་ཤིན་ཏུ་སྐྱོ་ནའང་མགྲོན་པོ་རྣམས་ཀྱི་མདུན་ནས་དམ་བཅས་ཟིན་པས་མི་སྟེར་ཞེས་ཟེར་མ་ཕོད༌པར།,https://www.bible.com/bible/110/MRK.6.NIRV,https://www.bible.com/bible/1933/MRK.6.NTB,MRK 6:26
5428,Our God is a God who strengthens and encourages you. May he give you the same attitude toward one another that Christ Jesus had.,དེ་ཡང་བཟོད་པ་དང་སེམས་གསོ་གནང་མཁན་དཀོན་མཆོག་གིས་མཱ་ཤི་ཀ་ཡེ་ཤུ་བཞིན་དུ་ཁྱོད་རྣམས་ཕན་ཚུན་མཐུན་པར་མཛད་པར༌སྨོན།,https://www.bible.com/bible/110/ROM.15.NIRV,https://www.bible.com/bible/1933/ROM.15.NTB,ROM 15:5
1964,"Again he said he was not. After a little while, those standing nearby said to Peter, “You must be one of them. You are from Galilee.”",འོན་ཀྱང་པེ་ཏྲོས་ཡང་ཁས་མ་བླངས༌སོ། །དེ་ནས་ཅུང་མ་འགོར་བར་གནས་དེར་ལངས་བསྡད་ཡོད་པའི་མི་རྣམས་ཀྱིས་ཀྱང་པེ་ཏྲོ༌ལ། ཁྱོད་ནི་ག་ལིལ་པ་ཞིག་ཡིན་པས་དངོས་གནས་དེ་དག་དང་གྲས་གཅིག་རེད་ཅེས་སྨྲས་པ༌ན།,https://www.bible.com/bible/110/MRK.14.NIRV,https://www.bible.com/bible/1933/MRK.14.NTB,MRK 14:70
1308,"On their way out of the city, they met a man from Cyrene. His name was Simon. They forced him to carry the cross.",ཁོ་རྣམས་ཕྱི་རོལ་ཏུ་སླེབས༌དུས། ཀི་རེ་ནེའི་མི་སྟེ་མིང་ལ་སི་མོན་ཟེར་བ་དང་འཕྲད༌ནས། དེ་དག་གིས་ཁོ་ལ་བཙན་གྱིས་སྐྱབས་མགོན་ཡེ་ཤུའི་ཤིང་རྒྱ་གྲམ་འཁུར་དུ༌བཅུག,https://www.bible.com/bible/110/MAT.27.NIRV,https://www.bible.com/bible/1933/MAT.27.NTB,MAT 27:32
7580,"Be shepherds of God’s flock, the believers under your care. Watch over them, though not because you have to. Instead, do it because you want to. That’s what God wants you to do. Don’t do it because you want to get money in dishonest ways. Do it because you really want to serve.",ཁྱོད་རྣམས་ཀྱིས་ངེས་པར་ཁྱོད་ཅག་ཁྲོད་ཀྱི་དཀོན་མཆོག་གི་ལུག་ཁྱུ་འཚོ་སྐྱོང་བྱེད་པ་དང་། དཀོན་མཆོག་གི་ཐུགས་དགོངས་ལྟར་བདག་སྐྱོང་བྱེད་དགོས། དེ་ནི་རང་མོས་ཡིན་པ་ལས་བཙན་གྱིས་བྱེད་དུ་བཅུག་པ་ཞིག་མིན་ལ། རྒྱུ་ནོར་ལ་རྔམ་པའི་རྐྱེན་ཡང་མིན་ཏེ།,https://www.bible.com/bible/110/1PE.5.NIRV,https://www.bible.com/bible/1933/1PE.5.NTB,1PE 5:2
2909,Every day Jesus was teaching at the temple. But the chief priests and the teachers of the law were trying to kill him. So were the leaders among the people.,ཁོང་གིས་ཉིན་རེ་བཞིན་མཆོད་ཁང་ནས་ཆོས་གསུངས། འོན་ཀྱང་མཆོད་དཔོན་ཆེན་པོ་རྣམས་དང་མཁན༌པོ། ཡུལ་མིའི་དཔོན་པོ་བཅས་ཀྱིས་ཁོང་ཉིད་དགྲོང་འདོད༌ཀྱང༌།,https://www.bible.com/bible/110/LUK.19.NIRV,https://www.bible.com/bible/1933/LUK.19.NTB,LUK 19:47
919,Here is what I tell you. Anyone who divorces his wife and marries another woman commits adultery. A man may divorce his wife only if she has not been faithful to him.”,བདག་གིས་ཁྱོད་རྣམས་ལ་སྨྲ་བར་བྱ༌སྟེ། ལོག་གཡེམ་བྱས་པའི་རྒྱུ་རྐྱེན་ལས༌གཞན། ཁྱོ་བོ་སུ་ཞིག་གིས་རང་གི་ཆུང་མ་སྤངས་ཏེ་བུད་མེད་གཞན་ཞིག་བླངས༌ན། དེ་ནི་ལོག་གཡེམ་བྱས་པ་ཡིན་ཞེས་གསུངས༌སོ།།,https://www.bible.com/bible/110/MAT.19.NIRV,https://www.bible.com/bible/1933/MAT.19.NTB,MAT 19:9
3268,"Here is the judgment. Light has come into the world, but people loved darkness instead of light. They loved darkness because what they did was evil.",ཉེས་ཆད་གཅོད་པ་ནི་འདི་ལྟ༌སྟེ། གཟི་འོད་དེ་ཉིད་འཇིག་རྟེན་དུ་ཕེབས་ནའང་མི་རྣམས་ཀྱི་སྤྱོད་པ་ངན༌པས། དེ་རྣམས་གཟི་འོད་ལ་མི་དགའ་བར་མུན་ནག་ལ་ཞེན་ཅིང་ཆགས་པའི་ཕྱིར༌ཡིན།,https://www.bible.com/bible/110/JHN.3.NIRV,https://www.bible.com/bible/1933/JHN.3.NTB,JHN 3:19
4302,And Saul had agreed with the Sanhedrin that Stephen should die. On that day the church in Jerusalem began to be attacked and treated badly. All except the apostles were scattered throughout Judea and Samaria.,སི་ཏེ་ཕཱན་བསད་པའི་དོན་དེར་སོ་ལོའང་ཡིད་འཐད༌དོ།། ཉིན༌དེར། ཡེ་རུ་སཱ་ལེམ་གྱི་ཆོས་ཚོགས་ལ་གནོད་འཚེ་ཆེན་པོ་ཐེབས༌ཏེ། སྐུ་ཚབ་པ་རྣམས་ལས་གཞན་རྗེས་འབྲང་པ་ཐམས་ཅད་ཡ་ཧུ་དཱ་དང་སཱ་མར་ཡ་ཡུལ་སོ་སོར་ཁ་ཐོར་དུ་སོང༌བ་རེད།,https://www.bible.com/bible/110/ACT.8.NIRV,https://www.bible.com/bible/1933/ACT.8.NTB,ACT 8:1
4489,The prophets and teachers fasted and prayed. They placed their hands on Barnabas and Saul. Then they sent them off.,དེ་ནས་ཁོང་རྣམས་ཀྱིས་ཀྱང་སྨྱུང་གནས་བསྲུངས་ཤིང་གསོལ་བ་བཏབ་པ་དང་ཁོང་གཉིས་ཀྱི་ལུས་ལ་ཕྱག་བཞག་རྗེས་ཡུལ་གཞན་དུ་བཏང༌ངོ༌།།,https://www.bible.com/bible/110/ACT.13.NIRV,https://www.bible.com/bible/1933/ACT.13.NTB,ACT 13:3
2873,"While the people were listening to these things, Jesus told them a story. He was near Jerusalem. The people thought that God’s kingdom was going to appear right away.",མི་རྣམས་ཀྱིས་གཏམ་དེ་དག་ལ་ཉན་པའི་དུས༌སུ། སྐྱབས་མགོན་ཡེ་ཤུ་ཁོང་ཉིད་ཡེ་རུ་སཱ་ལེམ་ལ་ཉེ་བར་སླེབ་པའི་རྐྱེན༌དང༌། མི་རྣམས་ཀྱི་སེམས་སུའང་དཀོན་མཆོག་གི་རྒྱལ་སྲིད་མྱུར་དུ་མངོན་པར་འགྱུར་ངེས་ཡིན་ཞེས་བསམས༌པས། ཁོང་གིས་དཔེའི་སྒོ་ནས་འདི་སྐད༌དུ།,https://www.bible.com/bible/110/LUK.19.NIRV,https://www.bible.com/bible/1933/LUK.19.NTB,LUK 19:11
396,Blessed are those whose hearts are pure. They will see God.,སེམས་རྣམ་པར་དག་པ་རྣམས༌བདེའོ། །རྒྱུ་མཚན་ནི་མི་དེ་རྣམས་དཀོན་མཆོག་ལ་མཇལ་བར་འགྱུར་བའི་ཕྱིར༌རོ།།,https://www.bible.com/bible/110/MAT.5.NIRV,https://www.bible.com/bible/1933/MAT.5.NTB,MAT 5:8
920,"Here is what the disciples said to him. “If that’s the way it is between a husband and wife, it is better not to get married.”",ཐུགས་སྲས་རྣམས་ན༌རེ། སྐྱེས་པ་དང་ཆུང་མ་གཉིས་ཀྱི་འབྲེལ་བ་དེ་འདྲ་ཡིན༌ན། གཉེན་སྒྲིག་མ་བྱས་ན་མི་ལེགས་སམ་ཞེས་ཞུས་པ༌ལ།,https://www.bible.com/bible/110/MAT.19.NIRV,https://www.bible.com/bible/1933/MAT.19.NTB,MAT 19:10
761,"When Jesus came ashore, he saw a large crowd. He felt deep concern for them. He healed their sick people.",ཁོང་ཉིད་སྐམ་སར་ཕེབས་ཤིང་མི་ཤིན་ཏུ་མང་པོ་ཡོད་པ་གཟིགས༌ཏེ། ཐུགས་ལ་སྙིང་རྗེ་འཁྲུངས་ནས་མི་དེ་དག་ལས་ནད་པ་རྣམས་ཀྱི་ནད་འཇོམས་པར་མཛད༌དོ།།,https://www.bible.com/bible/110/MAT.14.NIRV,https://www.bible.com/bible/1933/MAT.14.NTB,MAT 14:14
8205,“Look! I am coming soon! I bring my rewards with me. I will reward each person for what they have done.,ལྟོས་དང་། བདག་ནི་མྱུར་དུ་ཡོང་ངེས་ཡིན། མི་རེ་རེའི་ཅི་བྱས་བཞིན་ལན་འཇལ་བའི་ཕྱིར་ངས་རྔན་པ་འཁྱེར་འོང་ངོ་།།,https://www.bible.com/bible/110/REV.22.NIRV,https://www.bible.com/bible/1933/REV.22.NTB,REV 22:12
7117,"The Holy Spirit says, “Listen to his voice today.",དེའི་ཕྱིར། དམ་པའི་ཐུགས་ཉིད་ཀྱིས་འདི་སྐད་དུ་གསུངས་པ༌སྟེ། དེ་རིང་ཁྱོད་ཚོས་ཁོང་གི་སྐད་ཐོས༌ན།།,https://www.bible.com/bible/110/HEB.3.NIRV,https://www.bible.com/bible/1933/HEB.3.NTB,HEB 3:7
8206,I am the Alpha and the Omega. I am the First and the Last. I am the Beginning and the End.,ང་ནི་ཨལ་ཕཱ་དང་ཨོ་མེ་ཀ་སྟེ། སྔ་མ་དང་ཕྱི་མ་ཡིན་ལ། ཐོག་མ་དང་མཐའ་མའོ༎,https://www.bible.com/bible/110/REV.22.NIRV,https://www.bible.com/bible/1933/REV.22.NTB,REV 22:13
